EV Rank,Golfer,EV ($),Skill,SG Total,OWGR Rank,Form,Course Fit,Odds,Win %,Top 5 %,Top 10 %,Make Cut %,Season Action,Pick Rank,Reason
76,Beau Hossler,29864,32.1,+0.170,138,Cold,Strong,+17500,0.07,0.5,1.3,65.0,USE,76,
77,Séamus Power,29650,39.3,,162,Good,Weak,+13500,0.07,0.5,1.2,64.0,USE,77,
78,Matt Wallace,29120,43.2,+0.330,73,Cold,Weak,+9600,0.07,0.5,1.2,64.0,USE,78,
79,Karl Vilips,28884,46.2,-0.310,132,Hot,No Data,+49000,0.07,0.4,1.2,63.0,USE,79,
80,Danny Walker,27881,25,,,Unknown,Good,,0.07,0.4,1.1,62.0,USE,80,
81,Emilio González,27204,34.9,,153,Average,No Data,,0.07,0.4,1.1,61.0,USE,81,
82,Rico Hoey,26250,40.6,+0.370,68,Cold,Weak,+8400,0.06,0.4,1.1,60.0,USE,82,
83,Kristoffer Reitan,25986,25,,,Unknown,No Data,+9600,0.06,0.4,1.0,59.0,USE,83,
84,William Mouw,25950,37.3,,123,Cold,Good,+17000,0.06,0.4,1.0,59.0,USE,84,
85,Matti Schmid,25382,42.6,,90,Cold,Average,+14500,0.06,0.4,1.0,58.0,USE,85,
86,Jhonattan Vegas,24653,34.7,+0.280,83,Poor,Good,+15500,0.06,0.4,1.0,57.0,USE,86,
87,Gary Woodland,23510,31.5,-0.070,126,Cold,Average,+15000,0.05,0.3,0.9,56.0,USE,87,
88,Peter Malnati,23400,25,,,Unknown,Good,,0.05,0.3,0.9,55.0,USE,88,
89,Steven Fisk,23204,35.0,-0.030,105,Cold,Good,+21000,0.05,0.3,0.9,55.0,USE,89,
90,Emiliano Grillo,22645,35.2,+0.350,99,Cold,Average,+15500,0.05,0.3,0.9,54.0,USE,90,
91,Lanto Griffin,21725,23.3,,184,Cold,Strong,,0.05,0.3,0.8,53.0,USE,91,
92,Joel Dahmen,21663,25,,,Unknown,Good,,0.05,0.3,0.8,53.0,USE,92,
93,Austin Eckroat,20986,34.7,+0.090,135,Average,Average,+22000,0.05,0.3,0.8,51.0,USE,93,
94,Mackenzie Hughes,20936,32.6,+0.230,94,Poor,Good,+16000,0.05,0.3,0.8,51.0,USE,94,
95,Jesper Svensson,19210,27.8,-0.150,146,Cold,Average,+17000,0.04,0.3,0.7,48.0,USE,95,
96,Chad Ramey,19154,30.3,-0.090,166,Average,Good,+28000,0.04,0.3,0.7,48.0,USE,96,
97,Ryo Hisatsune,18852,36.0,-0.230,130,Average,Average,+31000,0.04,0.3,0.7,48.0,USE,97,
98,Rafael Campos,18843,25,,,Unknown,Average,,0.04,0.3,0.7,48.0,USE,98,
99,Brandt Snedeker,18771,26.7,-0.060,196,Average,Good,+27500,0.04,0.3,0.7,47.0,USE,99,
100,Kevin Streelman,18340,25,,,Unknown,Average,,0.04,0.2,0.7,47.0,USE,100,
101,Kevin Roy,18252,39.5,-0.050,137,Good,Poor,+21000,0.04,0.2,0.7,46.0,USE,101,
102,Aaron Wise,18128,25,,,Unknown,No Data,,0.04,0.2,0.7,46.0,USE,102,
103,Rasmus Højgaard,18128,25,,,Unknown,No Data,,0.04,0.2,0.7,46.0,USE,103,
104,Jeffrey Kang,18128,25,,,Unknown,No Data,,0.04,0.2,0.7,46.0,USE,104,
105,Mark Geddes,18128,25,,,Unknown,No Data,,0.04,0.2,0.7,46.0,USE,105,
106,A.J. Ewart,18128,25,,,Unknown,No Data,,0.04,0.2,0.7,46.0,USE,106,
107,Gordon Sargent,18128,25,,,Unknown,No Data,,0.04,0.2,0.7,46.0,USE,107,
108,Justin Hastings,18128,25,,,Unknown,No Data,,0.04,0.2,0.7,46.0,USE,108,
109,Hunter Logan,18128,25,,,Unknown,No Data,,0.04,0.2,0.7,46.0,USE,109,
110,Marcelo Rozo,18128,25,,,Unknown,No Data,,0.04,0.2,0.7,46.0,USE,110,
111,Mark Hubbard,18128,30.1,+0.060,122,Cold,Good,+28000,0.04,0.2,0.7,46.0,USE,111,
112,Zecheng Dou,17582,25,,,Unknown,Good,+24000,0.04,0.2,0.6,45.0,USE,112,
113,Isaiah Salinda,17126,25,,,Unknown,Good,+34000,0.04,0.2,0.6,44.0,USE,113,
114,Matthieu Pavon,15175,25,,,Unknown,Good,+29000,0.03,0.2,0.5,40.0,USE,114,
115,Luke Clanton,14745,16.2,+0.020,181,Poor,Strong,+22500,0.03,0.2,0.5,39.0,USE,115,
116,Luke List,14599,25,,,Unknown,Good,+43000,0.03,0.2,0.5,39.0,USE,116,
117,Dylan Wu,13485,25,,,Unknown,Average,+28000,0.03,0.2,0.5,37.0,USE,117,
118,Jeremy Paul,13270,25,,,Unknown,Weak,,0.03,0.2,0.5,36.0,USE,118,
119,Keita Nakajima,13039,32.4,-0.300,98,Cold,Weak,+26000,0.03,0.2,0.4,36.0,USE,119,
120,David Ford,12505,25,,,Unknown,No Data,+32500,0.03,0.2,0.4,34.0,USE,120,
121,Erik van Rooyen,12486,30.9,-0.110,120,Cold,Average,+34000,0.03,0.2,0.4,34.0,USE,121,
122,David Lipsky,12435,40.6,-0.140,142,Good,Poor,+48000,0.03,0.2,0.4,34.0,USE,122,
123,Neal Shipley,11815,27.2,+0.030,103,Poor,No Data,+22000,0.02,0.1,0.4,33.0,USE,123,
124,Zach Bauchou,11224,33.7,-0.260,174,Good,No Data,+90000,0.02,0.1,0.4,32.0,USE,124,
125,Kensei Hirata,11195,36.4,,150,Average,No Data,+72500,0.02,0.1,0.4,31.0,USE,125,
126,Marcus Byrd,10880,25,,,Unknown,Weak,,0.02,0.1,0.4,31.0,USE,126,
127,Patrick Fishburn,10529,23.7,+0.100,134,Poor,Weak,+17000,0.02,0.1,0.3,30.0,USE,127,
128,Alejandro Tosti,10508,25,,,Unknown,Good,+55000,0.02,0.1,0.3,30.0,USE,128,
129,Camilo Villegas,10465,25,,,Unknown,Weak,,0.02,0.1,0.3,30.0,USE,129,
130,S.T. Lee,9849,25,,,Unknown,No Data,+47500,0.02,0.1,0.3,28.0,USE,130,
131,Charley Hoffman,9215,25,,,Unknown,Good,+65000,0.02,0.1,0.3,27.0,USE,131,
132,Henrik Norlander,8864,20.9,,197,Average,Weak,,0.02,0.1,0.3,26.0,USE,132,
133,Chandler Blanchet,8777,22.1,-0.220,119,Poor,No Data,+26000,0.02,0.1,0.3,26.0,USE,133,
134,Joe Highsmith,8494,31.6,+0.080,115,Cold,Good,+97500,0.02,0.1,0.3,25.0,USE,134,
135,Sudarshan Yellamaraju,8459,25,,,Unknown,No Data,+60000,0.02,0.1,0.3,25.0,USE,135,
